row,col,config
1,2,2
1,3,2
1,4,2
2,4,2
2,4,8
3,4,8
3,3,8
3,2,8
4,2,8
4,1,8
5,1,8
6,1,8
7,1,8
8,1,8
8,2,8
8,3,8
8,4,8
8,4,2
9,4,2
9,6,2
9,6,2
9,7,2
9,8,2
8,8,2
8,8,8
7,8,8
7,8,2
7,7,2
7,8,2
6,8,2
5,8,2
4,8,2
3,8,2
3,7,2
3,6,2
2,6,2
1,6,2
1,7,2
1,8,2
1,10,2
1,10,2
1,11,2
1,12,2
2,12,2
3,12,2
3,11,2
4,11,2
5,11,2
6,11,2
6,10,2
6,11,2
7,11,2
7,12,2
7,11,2
7,10,2
8,10,2
9,10,2
9,11,2
9,12,2
9,14,2
9,14,2
9,15,2
9,16,2
8,16,2
7,16,2
7,15,2
7,16,2
7,15,2
6,15,2
5,15,2
4,15,2
4,16,2
3,16,2
2,16,2
2,15,2
2,14,2
1,14,2
1,15,2
1,16,2
