row,col,config
2,2,1
2,2,8
2,3,8
2,4,8
3,4,8
3,3,8
3,2,8
4,2,8
4,1,8
5,1,8
6,1,8
7,1,8
8,1,8
8,2,8
8,3,8
8,4,8
8,4,2
9,4,2
9,6,2
9,6,1
8,6,1
8,6,8
8,5,8
8,6,8
8,7,8
8,8,8
7,8,8
6,8,8
6,8,2
5,8,2
4,8,2
3,8,2
3,7,2
3,8,2
2,8,2
2,7,2
1,7,2
1,8,2
1,10,2
1,10,1
2,10,1
2,10,8
2,9,8
2,10,8
2,11,8
2,12,8
2,11,8
3,11,8
4,11,8
5,11,8
6,11,8
6,11,2
6,10,2
7,10,2
8,10,2
9,10,2
9,11,2
9,12,2
9,14,2
9,14,1
8,14,1
8,14,8
8,13,8
8,14,8
8,15,8
8,16,8
8,15,8
7,15,8
6,15,8
6,15,2
5,15,2
4,15,2
4,16,2
3,16,2
2,16,2
2,15,2
1,15,2
1,16,2
